week;doses_administered
2021-01-04;0
2021-01-11;0
2021-01-18;5583
2021-01-25;13926
2021-02-01;45088
2021-02-08;62532
2021-02-15;65404
2021-02-22;76620
2021-03-01;92254
2021-03-08;74964
2021-03-15;49633
2021-03-22;35348
2021-03-29;14763
2021-04-05;51360
2021-04-12;116204
2021-04-19;165436
2021-04-26;160719
2021-05-03;158285
2021-05-10;163036
2021-05-17;168937
2021-05-24;200402
2021-05-31;277407
2021-06-07;349156
2021-06-14;382895
2021-06-21;382781
2021-06-28;304316
2021-07-05;224824
2021-07-12;172577
2021-07-19;126107
2021-07-26;132110
2021-08-02;126474
2021-08-09;108933
2021-08-16;75983
2021-08-23;64517
2021-08-30;53632
2021-09-06;51114
2021-09-13;44256
2021-09-20;40680
2021-09-27;31839
2021-10-04;26029
2021-10-11;23855
2021-10-18;27890
2021-10-25;25754
2021-11-01;22902
2021-11-08;27830
2021-11-15;19035
2021-11-22;13479
2021-11-29;8289
2021-12-06;4875
